Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (52.2867559, 4.9622703)","Metro/Tram Stop (52.2745937, 4.8307936)",746.265331967424
"Bus Stop (52.2913613, 4.956003)","Metro/Tram Stop (52.2745937, 4.8307936)",149.5322449219052
"Bus Stop (52.2916383, 4.9550854)","Metro/Tram Stop (52.2745937, 4.8307936)",162.16904890828343
"Bus Stop (52.2807688, 4.9662959)","Metro/Tram Stop (52.2745937, 4.8307936)",1285.4151181878915
"Bus Stop (52.2814407, 4.9660251)","Metro/Tram Stop (52.2745937, 4.8307936)",1362.4267607045983
"Bus Stop (52.3029191, 4.9469433)","Metro/Tram Stop (52.2745937, 4.8307936)",557.0489479154049
"Bus Stop (52.3031919, 4.9481971)","Metro/Tram Stop (52.2745937, 4.8307936)",481.8034504514789
"Bus Stop (52.2967764, 4.9559192)","Metro/Tram Stop (52.2745937, 4.8307936)",318.1370417729249
"Bus Stop (52.2962483, 4.9550176)","Metro/Tram Stop (52.2745937, 4.8307936)",401.13713077350735
"Bus Stop (52.3071207, 4.9444589)","Metro/Tram Stop (52.2745937, 4.8307936)",522.5350134920105
"Bus Stop (52.3143431, 4.949038)","Metro/Tram Stop (52.2745937, 4.8307936)",241.75993033342488
"Bus Stop (52.3142756, 4.9495425)","Metro/Tram Stop (52.2745937, 4.8307936)",207.07578121341862
"Bus Stop (52.3432154, 4.9475131)","Metro/Tram Stop (52.2745937, 4.8307936)",18.25770531639017
"Bus Stop (52.3219772, 4.9512683)","Metro/Tram Stop (52.2745937, 4.8307936)",631.3215377764996
"Bus Stop (52.3476259, 4.9404764)","Metro/Tram Stop (52.2745937, 4.8307936)",24.432929712762675
"Bus Stop (52.350194, 4.9338365)","Metro/Tram Stop (52.2745937, 4.8307936)",114.08317925901956
"Bus Stop (52.3279703, 4.9727334)","Metro/Tram Stop (52.2745937, 4.8307936)",413.74590680001376
"Bus Stop (52.3219191, 4.9518619)","Metro/Tram Stop (52.2745937, 4.8307936)",659.4740172681439
"Bus Stop (52.3504166, 4.9345556)","Metro/Tram Stop (52.2745937, 4.8307936)",64.3583458519755
"Bus Stop (52.3271831, 4.967083)","Metro/Tram Stop (52.2745937, 4.8307936)",161.84848982319164
"Bus Stop (52.3268792, 4.9655563)","Metro/Tram Stop (52.2745937, 4.8307936)",210.75427474850778
"Bus Stop (52.3130617, 4.9493119)","Metro/Tram Stop (52.2745937, 4.8307936)",177.8299768827677
"Bus Stop (52.3928206, 4.9133998)","Metro/Tram Stop (52.2745937, 4.8307936)",142.2949636743677
"Bus Stop (52.4221303, 4.8993187)","Metro/Tram Stop (52.2745937, 4.8307936)",1138.706995563745
"Bus Stop (52.4300304, 4.8640307)","Metro/Tram Stop (52.2745937, 4.8307936)",1143.9090771743154
"Bus Stop (52.3985872, 4.9120806)","Metro/Tram Stop (52.2745937, 4.8307936)",505.7360743202335
"Bus Stop (52.4219011, 4.896144)","Metro/Tram Stop (52.2745937, 4.8307936)",1022.6049552335812
"Bus Stop (52.3924783, 4.8450954)","Metro/Tram Stop (52.2745937, 4.8307936)",492.85491827993695
"Bus Stop (52.3922153, 4.8432083)","Metro/Tram Stop (52.2745937, 4.8307936)",498.1944956492915
"Bus Stop (52.3739482, 4.9054983)","Metro/Tram Stop (52.2745937, 4.8307936)",344.57193597833
"Bus Stop (52.396298, 4.9139606)","Metro/Tram Stop (52.2745937, 4.8307936)",254.56462353885007
"Bus Stop (52.393157, 4.9139017)","Metro/Tram Stop (52.2745937, 4.8307936)",118.26860301810014
"Bus Stop (52.3964155, 4.9141452)","Metro/Tram Stop (52.2745937, 4.8307936)",270.4752850416815
"Bus Stop (52.4033475, 4.8961204)","Metro/Tram Stop (52.2745937, 4.8307936)",1162.8412179931831
"Bus Stop (52.4131816, 4.8798466)","Metro/Tram Stop (52.2745937, 4.8307936)",750.7296246201679
"Bus Stop (52.3987916, 4.9120999)","Metro/Tram Stop (52.2745937, 4.8307936)",528.1367362090332
"Bus Stop (52.4032113, 4.8968024)","Metro/Tram Stop (52.2745937, 4.8307936)",1192.159931334567
"Bus Stop (52.4218894, 4.8964543)","Metro/Tram Stop (52.2745937, 4.8307936)",1028.9811536309758
"Bus Stop (52.4128615, 4.8797059)","Metro/Tram Stop (52.2745937, 4.8307936)",761.7223619547367
