Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (13.09259629, 77.39622689)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.07262349, 77.57916067)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98464307, 77.58990438)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.99652273, 77.65258801)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.92935443, 77.52499813)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.96446959, 77.61136353)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.96916335, 77.59308734)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97538006, 77.59623417)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97078175, 77.60415488)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.96690634, 77.60369562)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.96590103, 77.59870516)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97074279, 77.58587837)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.96297367, 77.57585942)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.95795551, 77.56440125)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.9479399, 77.56295888)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.94472081, 77.56316628)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.9254268, 77.56845313)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.92579047, 77.57896619)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.00847219, 77.68785518)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97187741, 77.74989064)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.9734498, 77.7245382)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.93045474, 77.67649866)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98958101, 77.58105973)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98789407, 77.58686455)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98946308, 77.58806792)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.99140342, 77.59678036)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.99246913, 77.59545738)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.99316222, 77.58771822)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.00125665, 77.58327096)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.01658658, 77.60510187)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.04164353, 77.57799417)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.03586044, 77.57153559)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.03802784, 77.56946096)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.03497006, 77.55106336)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
